timestamp,openlst_header,callsign,ccsds_version,ccsds_packet_type,ccsds_secondary_header_flag,ccsds_apid,ccsds_sequence_flags,ccsds_sequence_count,ccsds_packet_length,payload_filter_bank_power_ch2,payload_filter_bank_power_ch4,payload_filter_bank_power_ch5,payload_filter_bank_power_ch6,payload_filter_bank_power_ch7,payload_filter_bank_power_ch8,payload_sdr_power,payload_sdr_bright_1,payload_sdr_bright_2,payload_sdr_bright_3,payload_sdr_bright_4,payload_sdr_bright_5,payload_sdr_bright_6,payload_sdr_bright_7,payload_sdr_bright_8,payload_sdr_bright_9,payload_sdr_bright_10,observation_time,altitude,lat,long
1728426139,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,968,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:22,1748.439718226867,40.44559090063803,-75.6447517
1728426169,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,970,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:22,1753.7664898993896,39.64143195263954,-74.32467333
1728426200,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,972,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:23,1759.1983332054624,38.79314103036201,-72.99764872
1728426230,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,974,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:23,1764.3822901246956,37.95641219613357,-71.74805915
1728426260,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,976,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:24,1769.4923515410226,37.10504420021452,-70.53129626
1728426290,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,978,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:24,1774.5261763139938,36.23988673547174,-69.34613016
1728426320,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,980,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:25,1779.4814760023921,35.361746849356436,-68.19132961
1728426350,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,982,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:25,1784.3560146175837,34.47139039401393,-67.06566919
1728426380,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,984,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:26,1789.147608359199,33.56954360167149,-65.9679353
1728426411,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,986,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:26,1794.0095195903568,32.62629479311545,-64.86167731
1728431866,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1354,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 16:57,1405.6187739833445,23.686076485543357,142.82289900058376
1728431896,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1356,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 16:58,1408.148454476789,24.78286680103628,143.80994974580162
1728431926,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1358,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 16:58,1410.8336034641966,25.870450499910177,144.81590088138026
1728431956,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1360,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 16:59,1413.6717279852091,26.948223506015815,145.84186033771576
1728431987,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1362,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 16:59,1416.7623943629553,28.05094805752828,146.9242439804197
1728432017,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1364,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:00,1419.9034076240357,29.10680798307563,147.99441446691978
1728432077,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1368,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:01,1426.6166819270422,31.182425402130928,150.20655457372396
1728432107,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1370,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:01,1430.1829838367444,32.200730604485415,151.3509636023091
1728432137,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1372,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:02,1433.8849323251563,33.20501305193189,152.5225887662088
